"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","Complaint_flag_num"
2209,23.35213119937234,"Premium",0,22,"Gaming","iOS","Hyderabad",31,"Female",642,12,799,"Card","App","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",31.72254404115145,767.518249805799,"High",1
2909,42.13776124741777,"Postpaid",0,5,"Utility","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",14.731610454695604,977.0925386789828,"Medium",1
2394,4.051793490740899,"Unlimited",1,16,"Shopping","Feature","Hyderabad",35,"Female",913,44,799,"Card","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",25.745875827091943,596.8424627667822,"High",1
567,43.68722863084086,"Premium",3,15,"Gaming","Feature","Delhi",21,"Male",212,45,299,"UPI","App","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",34.85146913722004,528.4453619791897,"High",1
640,11.838321116139769,"Premium",2,22,"Streaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.21758863078878,124.38639325313514,"High",1
706,43.435659014837874,"Prepaid",0,21,"Utility","Feature","Bangalore",24,"Female",202,38,799,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",52.83375640076704,678.633007252828,"High",1
1382,2.2989416128412,"Unlimited",2,9,"Utility","Android","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",40.969779128726245,117.73948397892774,"High",0
2895,7.485953020209242,"Unlimited",0,37,"Gaming","Android","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",27.35721698872013,923.9623095627226,"High",1
1192,6.048750495548085,"Prepaid",3,5,"Streaming","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
135,36.32669269557133,"Basic",0,8,"Gaming","Android","Bangalore",38,"Male",941,10,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",49.41172658082957,407.6356165280884,"High",1
1734,11.827650937283886,"Prepaid",1,48,"Social","Feature","Hyderabad",32,"Female",869,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",59.34626935341568,642.8776619592817,"High",1
1857,7.991252539452654,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,799,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
1569,39.76348870160527,"Unlimited",1,28,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",19,72.8,"5G",-72,"No",36.82997790515189,698.5330070916299,"High",1
615,28.48160006876629,"Prepaid",1,49,"Gaming","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
1619,39.11495644552716,"Unlimited",3,17,"Social","iOS","Chennai",43,"Female",306,13,299,"Wallet","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",9.672020245269165,910.5150711127473,"Low",1
1269,5.737572387759219,"Unlimited",1,47,"Streaming","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",27.35721698872013,923.9623095627226,"High",1
2725,28.84722406975311,"Premium",0,6,"Shopping","iOS","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.969779128726245,117.73948397892774,"High",0
1115,18.187924775756134,"Unlimited",0,18,"Shopping","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",50.12502461501769,285.7791445845429,"High",1
227,18.02553528504412,"Premium",1,31,"Utility","Android","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",52.83375640076704,678.633007252828,"High",1
1269,5.737572387759219,"Unlimited",1,47,"Streaming","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",27.35721698872013,923.9623095627226,"High",1
1056,11.64358030680407,"Premium",0,4,"Shopping","Feature","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",6.959494789559148,287.0976296314246,"Low",1
500,33.313302990309964,"Postpaid",4,34,"Gaming","Android","Bangalore",33,"Female",874,22,399,"Wallet","Retail Store","Yes",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",12.35559039915135,687.4714970666872,"Medium",1
1585,38.5032944434416,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
1357,16.517452370356004,"Premium",2,32,"Social","iOS","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",40.969779128726245,117.73948397892774,"High",0
1053,28.583376722599223,"Premium",4,38,"Shopping","Feature","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",9.672020245269165,910.5150711127473,"Low",1
2365,34.824670189168174,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
2845,11.863974065312837,"Prepaid",3,28,"Utility","Android","Hyderabad",45,"Male",214,38,199,"Cash","Retail Store","Yes",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",50.12502461501769,285.7791445845429,"High",1
2908,25.56279097966776,"Basic",4,9,"Gaming","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",31.72254404115145,767.518249805799,"High",1
995,29.365354690178485,"Basic",3,24,"Gaming","Feature","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",52.37114260207894,538.6880784245623,"High",0
2953,24.902542457566,"Unlimited",0,37,"Social","iOS","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",36.98282234905052,320.81419871318883,"High",1
497,15.992187020848512,"Unlimited",3,8,"Utility","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",6.959494789559148,287.0976296314246,"Low",1
2873,40.15014793078204,"Unlimited",0,35,"Shopping","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",40.21758863078878,124.38639325313514,"High",1
1028,19.681888997504007,"Postpaid",4,28,"Gaming","iOS","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",50.12502461501769,285.7791445845429,"High",1
727,5.6180184947871,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408348186,226.9736638999422,"High",1
2953,24.902542457566,"Unlimited",0,37,"Social","iOS","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",36.98282234905052,320.81419871318883,"High",1
179,24.691147690710896,"Premium",2,37,"Streaming","iOS","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.88926370363833,160.4578599241391,"High",1
727,5.6180184947871,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408348186,226.9736638999422,"High",1
1236,4.790366625686207,"Premium",1,12,"Utility","Android","Bangalore",33,"Female",874,22,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",12.35559039915135,687.4714970666872,"Medium",1
1135,43.22420351853739,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.88926370363833,160.4578599241391,"High",1
1782,33.2160941914203,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408348186,226.9736638999422,"High",1
175,17.260923189896985,"Premium",3,14,"Social","Android","Mumbai",26,"Female",190,14,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",16.95748575512573,225.4204666655417,"Medium",1
1226,5.669940994732023,"Basic",4,32,"Shopping","iOS","Bangalore",26,"Male",366,47,799,"Card","Retail Store","Yes",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",23.05743430731525,130.8052997384762,"Medium",1
2604,7.553854851514284,"Basic",2,45,"Utility","Feature","Delhi",24,"Female",988,53,499,"Card","Website","No",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",17.293660552807754,339.848554033794,"Medium",1
353,2.395473219515075,"Postpaid",0,35,"Utility","iOS","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",56.77576408348186,226.9736638999422,"High",1
500,15.246614049652736,"Postpaid",3,22,"Streaming","Android","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",6.959494789559148,287.0976296314246,"Low",1
2172,31.20139972321305,"Prepaid",2,41,"Social","Feature","Delhi",53,"Female",621,49,299,"UPI","App","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",27.35721698872013,923.9623095627226,"High",1
1177,43.62287191391239,"Unlimited",2,17,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",36.82997790515189,698.5330070916299,"High",1
512,3.6850120470527887,"Postpaid",0,21,"Shopping","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",31.72254404115145,767.518249805799,"High",1
813,26.250498956809963,"Prepaid",0,39,"Utility","Android","Chennai",34,"Male",797,40,799,"Card","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",36.98282234905052,320.81419871318883,"High",1
2990,5.779167855226186,"Postpaid",0,3,"Streaming","iOS","Delhi",21,"Male",212,45,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",34.85146913722004,528.4453619791897,"High",1
1782,33.2160941914203,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408348186,226.9736638999422,"High",1
1984,14.208601913711025,"Premium",1,2,"Utility","Feature","Hyderabad",20,"Female",898,40,799,"Wallet","Retail Store","Yes",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",56.77576408348186,226.9736638999422,"High",1
1405,28.12487455862363,"Unlimited",2,45,"Streaming","Android","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",27.35721698872013,923.9623095627226,"High",1
1857,7.991252539452654,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
980,12.399648508719425,"Postpaid",3,5,"Utility","Feature","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",56.77576408348186,226.9736638999422,"High",1
1135,43.22420351853739,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.88926370363833,160.4578599241391,"High",1
1585,38.5032944434416,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
1990,13.016898574561695,"Premium",4,7,"Gaming","iOS","Bangalore",38,"Male",941,10,799,"Wallet","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",49.41172658082957,407.6356165280884,"High",1
1923,26.86604606283548,"Postpaid",2,25,"Social","Android","Bangalore",38,"Male",941,10,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",19,72.8,"5G",-72,"No",49.41172658082957,407.6356165280884,"High",1
1128,16.83855299636263,"Premium",1,22,"Shopping","Feature","Hyderabad",31,"Female",278,42,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",22.524539840552467,962.7644595818984,"Medium",0
142,12.3262616074623,"Basic",2,47,"Social","Android","Mumbai",52,"Female",493,29,499,"Card","Website","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",26.28869044374024,444.8246754245477,"High",1
348,24.101548033871865,"Basic",3,30,"Streaming","Android","Chennai",25,"Male",670,28,199,"Card","Retail Store","No",199,28,5,100,"Economy","10% Off",19,72.8,"5G",-72,"No",36.82997790515189,698.5330070916299,"High",1
225,7.149771668227802,"Unlimited",0,13,"Social","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",27.35721698872013,923.9623095627226,"High",1
1446,26.51263031384269,"Postpaid",1,32,"Utility","Feature","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",19,72.8,"5G",-72,"No",52.83375640076704,678.633007252828,"High",1
1768,44.855383994177934,"Unlimited",4,23,"Utility","Feature","Delhi",24,"Female",988,53,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",17.293660552807754,339.848554033794,"Medium",1
1469,24.02000150686908,"Unlimited",2,20,"Streaming","Android","Hyderabad",32,"Female",869,13,799,"Cash","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",59.34626935341568,642.8776619592817,"High",1
1540,30.013845189884883,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
1177,43.62287191391239,"Unlimited",2,17,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",36.82997790515189,698.5330070916299,"High",1
146,32.07902506298933,"Premium",3,16,"Gaming","Android","Bangalore",26,"Male",366,47,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",23.05743430731525,130.8052997384762,"Medium",1
798,6.2993501479601255,"Basic",3,12,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",16.95748575512573,225.4204666655417,"Medium",1
1953,37.94714518202485,"Prepaid",0,12,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",25.745875827091943,596.8424627667822,"High",1
1857,7.991252539452654,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
2394,4.051793490740899,"Unlimited",1,16,"Shopping","Feature","Hyderabad",35,"Female",913,44,799,"Card","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",25.745875827091943,596.8424627667822,"High",1
640,11.838321116139769,"Premium",2,22,"Streaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.21758863078878,124.38639325313514,"High",1
1540,30.013845189884883,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
2995,8.531815821028658,"Premium",3,40,"Social","iOS","Mumbai",52,"Female",493,29,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",26.28869044374024,444.8246754245477,"High",1
1412,2.323977614765214,"Prepaid",4,6,"Gaming","Android","Delhi",53,"Female",621,49,299,"UPI","App","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",27.35721698872013,923.9623095627226,"High",1
512,3.6850120470527887,"Postpaid",0,21,"Shopping","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",31.72254404115145,767.518249805799,"High",1
1953,37.94714518202485,"Prepaid",0,12,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",25.745875827091943,596.8424627667822,"High",1
2365,34.824670189168174,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
1267,35.95358014016582,"Basic",4,42,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",19,72.8,"5G",-72,"No",16.95748575512573,225.4204666655417,"Medium",1
2690,19.647063560555445,"Prepaid",3,24,"Shopping","Android","Delhi",21,"Male",212,45,799,"UPI","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",34.85146913722004,528.4453619791897,"High",1
1115,18.187924775756134,"Unlimited",0,18,"Shopping","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",50.12502461501769,285.7791445845429,"High",1
995,29.365354690178485,"Basic",3,24,"Gaming","Feature","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",52.37114260207894,538.6880784245623,"High",0
1649,14.663239714095484,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.88926370363833,160.4578599241391,"High",1
